id,channel,triggerType,persona,gender,psychologicalTrigger,daysInactive,title,body,text,variables,clickCount,completionRate
X7WTecOhqFBZLQeylTuo,retention,Inactivity,reservist,both,FOMO,1,,,"@שם, בבית? @בוא/י לסגור @פער_שבועי לפני שהסופ""ש נגמר.","@שם,@בוא,@פער_שבועי",,
f9x5IBZaBRybqnyqQODy,retention,Inactivity,reservist,both,FOMO,1,,,בוקר טוב לוחם. @זמן_אימון דקות @קטגוריה לכוננות שיא.,"@זמן_אימון,@קטגוריה",,
ge48uqDFtGWk9sXAYmDf,retention,Inactivity,reservist,both,FOMO,1,,,"לוחם, שמור על כשירות. @זמן_אימון דקות של @קטגוריה ו@את/ה מוכן/ה.","@זמן_אימון,@קטגוריה,@את",,
t4JchZ0ikAFHHT4g95L1,retention,Inactivity,reservist,both,FOMO,1,,,"נקה רעשים, @שם. @זמן_אימון דקות של @מיקוד ופוקוס.","@שם,@זמן_אימון,@מיקוד",,
wWuHMxB3RJ6RvFMtLfuj,retention,Inactivity,reservist,both,FOMO,1,,,צריך/ה ריסטרט? @זמן_אימון דקות של @קטגוריה והמערכת מאופסת.,"@זמן_אימון,@קטגוריה",,
48cWmNM38tkqo9t7pju5,retention,Inactivity,senior,both,FOMO,1,,,גב חזק ליציבה זקופה. @בוא/י לאימון ממוקד ב@מיקום.,"@בוא,@מיקום",,
744jpHVpdJp2jjpQJsYr,retention,Inactivity,senior,both,FOMO,1,,,סוגרים יום בנחת. @זמן_אימון דקות של שחרור ורוגע ב@מיקום.,"@זמן_אימון,@מיקום",,
8Ajzjnj8DUejbmZe9YBp,retention,Inactivity,senior,both,FOMO,1,,,"שומרים על היכולת! רמה @רמה כבר כאן, בוא/י לשמר אותה.",@רמה,,
9lIeJcJUC3kYlLx2jvhp,retention,Inactivity,senior,both,FOMO,1,,,זמן לגמישות. @זמן_אימון דקות של תנועה חופשית ונינוחה.,@זמן_אימון,,
9z7eSws76YeIl9ix5cSU,retention,Inactivity,senior,both,FOMO,1,,,זמן לגמישות. @זמן_אימון דקות של תנועה חופשית ונינוחה.,@זמן_אימון,,
CWGjqEv2dLXwGjii1Vcu,retention,Inactivity,senior,both,FOMO,1,,,אל תתני/יתן לנוקשות לנצח. @בוא/י ל-@זמן_אימון דקות של תנועה משחררת.,"@בוא,@זמן_אימון",,
CWK6R7HiPuEcCvZQfzEh,retention,Inactivity,senior,both,FOMO,1,,,בוקר של בריאות @שם. בוא/י לריצה קלה לשמירה על המפרקים.,@שם,,
HzUePDYtf3pcpTuIX5uA,retention,Inactivity,senior,both,FOMO,1,,,סוגרים יום בנחת. @זמן_אימון דקות של שחרור ב@מיקום.,"@זמן_אימון,@מיקום",,
I0Mu1aQlKiq1rLHoW0UK,retention,Inactivity,senior,both,FOMO,1,,,התקדמות מרשימה! @אחוז_התקדמות_רמה ואנחנו ברמה הבאה.,@אחוז_התקדמות_רמה,,
Iz5xgD47eK5Wofqxm2Zt,retention,Inactivity,senior,both,FOMO,1,,,צריכ/ה זריקת מרץ? @זמן_אימון דקות של @קטגוריה ו@את/ה חדש/ה.,"@זמן_אימון,@קטגוריה,@את",,
NJtSPKOz383FSMzAWw7X,retention,Inactivity,senior,both,FOMO,1,,,עצמאות מתחילה בחוזק. @בוא/י לתרגול @קטגוריה שישמור עליך חזק/ה.,"@בוא,@קטגוריה",,
SiFqLiyCxM6EiU97kCGb,retention,Inactivity,senior,both,FOMO,1,,,הגיע הזמן לתחזק את המפרקים. @זמן_אימון דקות של תנועה ובריאות.,@זמן_אימון,,
SoEkAAk9MmSlMCDGt0GV,retention,Inactivity,senior,both,FOMO,1,,,צריכ/ה זריקת מרץ? @זמן_אימון דקות של @קטגוריה ו@את/ה חדש/ה.,"@זמן_אימון,@קטגוריה,@את",,
Ssb52oMIFSAIfGEjL1Vc,retention,Inactivity,senior,both,FOMO,1,,,גב חזק ליציבה זקופה. @בוא/י לאימון ממוקד ב@מיקום.,"@בוא,@מיקום",,
TEihCmnmgSPmHCxbqZc8,retention,Inactivity,senior,both,FOMO,1,,,"שומרים על היכולת! רמה @רמה כבר כאן, בוא/י לשמר אותה.",@רמה,,
TrqbXAZrSeCnQxQ9lfTA,retention,Inactivity,senior,both,FOMO,1,,,חזרת מהליכה? @בוא/י למתיחות קצרות לשמירה על הגמישות.,@בוא,,
UpEdafPJ2erOG4Iwx1Rw,retention,Inactivity,senior,both,FOMO,1,,,התקדמות מרשימה! @אחוז_התקדמות_רמה ואנחנו ברמה הבאה.,@אחוז_התקדמות_רמה,,
WggNWLmZGkxLKP9DAvdI,retention,Inactivity,senior,both,FOMO,1,,,הנכדים מחכים! @בוא/י לצבור כוח למשחקים משותפים בגינה.,@בוא,,
bKqSxqQ7270RXe1HCKWv,retention,Inactivity,senior,both,FOMO,1,,,דואגים ללב. @זמן_אימון דקות של פעילות מתונה להרגשה טובה.,@זמן_אימון,,
e3R0Le2py5NIlJxMoEZf,retention,Inactivity,senior,both,FOMO,1,,,עצמאות מתחילה בחוזק. @בוא/י לתרגול @קטגוריה שישמור עליך חזק/ה.,"@בוא,@קטגוריה",,
eU0rc4nEXifO8tlldaVm,retention,Inactivity,senior,both,FOMO,1,,,בוקר של בריאות @שם. @בוא/י ל-@זמן_אימון דקות של הנעת מפרקים.,"@שם,@בוא,@זמן_אימון",,
fMYOmHChjV51VMS642RA,retention,Inactivity,senior,both,FOMO,1,,,בוקר טוב @שם. @בוא/י להניע את המפרקים ולהתחיל יום רענן.,"@שם,@בוא",,
haWknw2DWlbHTG1j8CX2,retention,Inactivity,senior,both,FOMO,1,,,הכוח אצלך בידיים. @בוא/י לאימון חיזוק שישפר לך את היום.,@בוא,,
iYem1ECuy4P7FMACa1tH,retention,Inactivity,senior,both,FOMO,1,,,שומרים על יציבות! תרגול ביטחון בתנועה מחכה לך ב@מיקום.,@מיקום,,
lrjQt6JhuRw43SGDjni6,retention,Inactivity,senior,both,FOMO,1,,,הגיע הזמן לתחזק את המפרקים. @זמן_אימון דקות של תנועה ובריאות.,@זמן_אימון,,
n7BweQXOwiwC6tEdbekq,retention,Inactivity,senior,both,FOMO,1,,,אל תתני/יתן לנוקשות לנצח. @בוא/י ל-@זמן_אימון דקות של תנועה.,"@בוא,@זמן_אימון",,
n9f22R0CISOcDhkpiLdu,retention,Inactivity,senior,both,FOMO,1,,,דואגים ללב. @זמן_אימון דקות של פעילות מתונה להרגשה טובה.,@זמן_אימון,,
raCZ65lR6kIiedtCeAy2,retention,Inactivity,senior,both,FOMO,1,,,כוח למשחקים עם הנכדים? @זמן_אימון דקות של חיזוק והכל נהיה קל יותר.,@זמן_אימון,,
uOKxEmqrIMmuzt5qjHu4,retention,Inactivity,senior,both,FOMO,1,,,שומרים על שיווי המשקל! תרגול יציבות קצר מחכה לך ב@מיקום.,@מיקום,,
utiJBrBJCAw1cVMXNEth,retention,Inactivity,senior,both,FOMO,1,,,חזרת מהליכה? @בוא/י למתיחות קצרות לשמירה על הגמישות.,@בוא,,
yM8j6vmOl7jNaST0hkgE,retention,Inactivity,senior,both,FOMO,1,,,הכוח אצלך בידיים. @בוא/י לאימון חיזוק שישפר לך את היום.,@בוא,,
1F3N3sKS9kb9VnUqqaqQ,retention,Inactivity,student,both,FOMO,1,,,@את/ה ב-@אחוז_התקדמות_רמה ל@רמה_הבאה. בוא/י לסיים חזק.,"@את,@אחוז_התקדמות_רמה,@רמה_הבאה",,
1p2rAMDjlxCFqdQEMSSu,retention,Inactivity,student,both,FOMO,1,,,רוצה להרגיש בשיא שלך? @זמן_אימון דקות של פוקוס וביטחון.,@זמן_אימון,,
2KcxtPHmj0DSHzZrn0JP,retention,Inactivity,student,both,FOMO,1,,,רוצה להצליח @תרגיל_יעד? בוא/י לעבוד על זה עכשיו.,@תרגיל_יעד,,
4wkY8w0ZcWLtxvvRBNm3,retention,Inactivity,student,both,FOMO,1,,,"@שם, רמה @רמה כבר קטנה עליך. בוא/י לטפס ל@רמה_הבאה.","@שם,@רמה,@רמה_הבאה",,
8T5mtcQexLwTGFYjo4jo,retention,Inactivity,student,both,FOMO,1,,,בלחץ של דדליין? אימון @עצימות קצר יסדר לך את הפוקוס.,@עצימות,,
BDXADHcZzcKO5LtypP48,retention,Inactivity,student,both,FOMO,1,,,רוצה להיראות חזק/ה וקליל/ה? בוא/י לסטריידים מהירים בסיום הריצה.,,,
BncIv48gGTbAHwwo2OWi,retention,Inactivity,student,both,FOMO,1,,,מספיק מסכים להיום. @בוא/י ל-@זמן_אימון דקות של ריסטרט לגוף.,"@בוא,@זמן_אימון",,
DlCAJhyWpsaYAYpjb98v,retention,Inactivity,student,both,FOMO,1,,,"סטודנט, הגב ננעל? @בוא/י למתיחות שקטות על הכיסא בספרייה.",@בוא,,
HLBQTas6Z13oYT0Fl4Eo,retention,Inactivity,student,both,FOMO,1,,,לפני הלימודים: @זמן_אימון דקות של אנרגיה מטורפת.,@זמן_אימון,,
HYt8AjRQwQRXk1SZZH16,retention,Inactivity,student,both,FOMO,1,,,צריכ/ה בוסט למוח? @זמן_אימון דקות של @קטגוריה ו@את/ה חד/ה למבחן.,"@זמן_אימון,@קטגוריה,@את",,
HwvnAd8IoZHBl9rSI6tG,retention,Inactivity,student,both,FOMO,1,,,מרגיש/ה תקיעות? @זמן_אימון דקות של @קטגוריה והכל נראה אחרת.,"@זמן_אימון,@קטגוריה",,
YsxxwNdss9dfSBM6CbHq,retention,Inactivity,student,both,FOMO,1,,,"סופ""ש הגיע. זמן לטעון מצברים לקראת שבוע המבחנים.",,,
bVPkGtfF236TF4Kt2UqN,retention,Inactivity,student,both,FOMO,1,,,סוגרים פער שבועי ב@מיקוד. @בוא/י לסגור את הבאקלוג.,"@מיקוד,@בוא",,
brGfyKk3FiCvr1j4Ukjf,retention,Inactivity,student,both,FOMO,1,,,"@שם, רמה @רמה כבר קטנה עליך. @בוא/י לטפס ל@רמה_הבאה.","@שם,@רמה,@בוא,@רמה_הבאה",,
c0GsEbOxAWaTCgCF8KYs,retention,Inactivity,student,both,FOMO,1,,,לפני ההרצאה הראשונה: @זמן_אימון דקות @קטגוריה לכוננות שיא.,"@זמן_אימון,@קטגוריה",,
cNsk9zGD6yoOE7Nkg3yc,retention,Inactivity,student,both,FOMO,1,,,הצוואר תפוס מהספרים? @בוא/י ל-@זמן_אימון דקות שחרור ב@מיקום.,"@בוא,@זמן_אימון,@מיקום",,
cX1olINc7IprgHtSLeFc,retention,Inactivity,student,both,FOMO,1,,,"סטודנט, שמור על הגב. @זמן_אימון דקות תחזוקה ב@מיקום.","@זמן_אימון,@מיקום",,
fXQc8TzkgdDL8imt7TjV,retention,Inactivity,student,both,FOMO,1,,,סיימת עם המטלות? עכשיו תורך. @זמן_אימון דקות שחרור.,@זמן_אימון,,
h9QzxTA6sSPWUBVHadWW,retention,Inactivity,student,both,FOMO,1,,,תהיה הכי חזק בחבר'ה. @זמן_אימון דקות כוח מחכות לך.,@זמן_אימון,,
lZFz5QWFHeE9L0Rd9Hau,retention,Inactivity,student,both,FOMO,1,,,"לוחם, הצבא מתקרב. בוא נבנה את הכשירות שלך.",,,
mbQhgxqqWyIp61oSsuzN,retention,Inactivity,student,both,FOMO,1,,,"תעמדי זקוף, @שם. אימון יציבה קצר שיגרום לך להרגיש מלכה.",@שם,,
pUkc5n35yvMh5SPx8Q53,retention,Inactivity,student,both,FOMO,1,,,המוח תקוע? בוא/י לאינטרוולים קצרים שיעיפו לך את הריכוז למעלה.,,,
qGqLF2IBFdvuPbVFqg8U,retention,Inactivity,student,both,FOMO,1,,,הים מחכה. @בוא לסגור אימון שישפר לך את המראה.,@בוא,,
u2N1h70mwfYgZkXC3jw1,retention,Inactivity,student,both,FOMO,1,,,המוח תקוע? @זמן_אימון דקות @קטגוריה ותחזור/תחזרי ללמוד בשיא.,"@זמן_אימון,@קטגוריה",,
vRJdQVKgylZb9UmdFt4t,retention,Inactivity,student,both,FOMO,1,,,אין זמן ללמוד? תמיד יש @זמן_אימון דקות לאימון ספרינט.,@זמן_אימון,,
yiI6mIZsLzutdKIP3xVS,retention,Inactivity,student,both,FOMO,1,,,יצאת מהספרייה? בוא/י לאימון @קטגוריה מהיר בחוץ.,@קטגוריה,,
